full_text,klasifikasi,klasifikasi_bayes
pasti prabowo kalang kabut bayar utang segala rusa sengaja tinggal jokowi garagara jkw makan siang gratis hingga ikn ancam nasib perintah prabowo ujung tanduk,netral,netral
ikn yuu mas,netral,netral
prof h m amien rais ma ketua majelis sayaura partai umat skandal politik fatamorangana nama ikn ikn pasti mangkrakkrak ada imvestor luar tarik investor negeri ecekecek kuasa jokowi akn cabut uu ada raison detre,netral,netral
moga ikn jadi spt hambalang,netral,netral
kurban jokowi mana biasa jelang idul adha jokowi umbar berita kurban sapi daerah tentu berat ton tahun ga dengar berita mungkin tidak tau habis dana buat ikn bansos milu sekali aje,netral,netral
pupr klaim sarana prasarana ikn siap hut merdeka presiden tempat istana,netral,netral
emang starlink jadi masuk ikn,netral,netral
ngakak kuasa usaha tutuptutupi alas ikn siap an semua orang tau bro,negatif,netral
bulan jelang agustus ikn centang renang mula jokowi target upacara merdeka tahun laksana ibu kota negara baru,netral,netral
bisa tuntut laku ikn tetang manfaat guna uang rakyat yah,netral,netral
jokowiprabowo upacara agustus ikn ma ruf amingibran upacara jakarta,netral,netral
sprti makanya lbh penting ketimbang ikn,netral,netral
terus ya maksa bangun ikn,netral,netral
lebih mungkin ikn mangkrak,netral,netral
mas ngomong bahlildari awal ngak lanjut ngak sampe pak lurah turunyang niat terusin ikn cm pak lurahpak wowo ngak mau tuch,netral,netral
fokus pada jalar politik dinasti konsesi tambang ormas kasus firli bahuri judol ikn amburadul rupiah terjun bebas bagibagi jabat,netral,netral
sih modus asli netizen oposisi terlalu keren rezim kuat menghadangnya,netral,netral
negara keluarga rezim jokowismejokonesia nkrj ibukotanya ikn ibukota koruptor amp nepotisme,netral,netral
sby punya hambalang jokowi ikn,netral,netral
proyak ikn ancam mangkrak apbn sisa rp triliun investor asing tarik,netral,netral
ikn the second hambalang nasiib nasib,netral,netral
otorita ikn bilang ridwan kamil bilang bulan sudah kaya jakarta maklum banyak jabat rangkap jadi tukang sulap,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal,netral,netral
joko widodo laku leta batu pertama bangun pusat ekosistem transisi energi layan digital pertama besar tanah air pln hub jantung ikn nusanantia rabu,netral,netral
lihat nanti ikn jadi apa kagak usah pesimis,netral,netral
bule ikn bukan,netral,netral
akan ikn jadi hambalang dua,netral,netral
hutan sekalimantan babat buat ikn,netral,netral
bukan china erick thohir timba ilmu bangun pusat uang ikn uea,netral,netral
ingat jangan lupa dolar atas rb sayaarat batas umur jadi wakil gubernur rubah ikn nyata ada investor maaf berita teroris gak percaya,netral,netral
selamat datang kepala mu tolol pidato jkw depan sidang mpr harus laku ibukota negara upaca an ikn simbol tol perintah bukti jkw tak berani tanda tangan pres pindah ibukota,netral,netral
ikn siapa,netral,netral
apa kata om bule fakta bukan ilusi masih percaya datang ke ikn,netral,netral
investasi kang melon ikn cabut heboh coba,netral,netral
masa ikn jadi guna bahlil mahaguru preman akhir presiden sendiri sambi jadi sales,netral,netral
edukasi edukasitapi yasekali gabisa bedain bogor sama ikn wowkwkwkw lucu dong bacot masalah ikn yang ditunjukin malah proyak rumah bogor,netral,netral
kalau jadi prioritas korban rakyat tambah melarat krn apbn sedot ikn,netral,netral
pantas wiwi ngotot mau bangun ikn wiwi cina pantas wowo duwet gibran wowo cokin kalauplah sekalimantan dulu incar aseng,netral,netral
kalau wowo mau periode ikn mesti disingkirin dulu,netral,netral
lah iya lah istana merdeka besar sejarah semua presiden negara diri pati istana tsb lah ikn jelas,netral,netral
nilai transaksi judi online cs tembus rp triliun anggar bangun ikn lewat,netral,netral
beliau mah dibilangin ikn banyak ngantri mau jd investor sama anak buah percaya sama pakar percaya bgt tuh,netral,netral
sikap video sempat viral kait sabut ikn ibukota koruptor nepotisme akhir om bule angkat bicara,netral,netral
bapenas mau ngga mau libat baik ikn sukses maupun gagal uu mula sanahehe,netral,netral
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
progres bangun bandara ikn nusanantia terus jalan ini landas pacu runway bandara mulai aspal itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
ga ikn maksa apa gimana,netral,netral
ikn kota cerdas transportasi cerdas,netral,netral
km ad proyak ap ikn,netral,netral
kalau benar data bank dunia arti penyabab ada investor asing ikn takut dana korupsi,netral,netral
siapa mau ngatur mukidi banci kere blekenapa dongoook cocot jorong wc kayak kamu sll bcr kapasitas jabat mukidi anda mukidi tiggl ikn hrs bcr kapasitas jbatan lbh dekat sm presiden pilih kan baguskatanya nasehat orang dungu jd nasehat,netral,netral
jokowi bahlil ber haluancukup satu kata kasihan ikn,netral,netral
ikn jadi pionir transportasi cerdas,netral,netral
ikn jadi pionir transportasi cerdas,netral,netral
ikn jadi pionir transportasi cerdas,netral,netral
nunggu buat vlog ikn kek perna buat vlog hambalang,netral,netral
mulai saat ingat catat nama bangsat dukung mati ikn hanya jilat sangat junjung krn junjung kuasa ikn mangkrak mulut paling manis tuding salah proyak ikn lihat bahlil ahy rkamil,netral,netral
ikn kota pionir transportasi cerdas,netral,netral
teknologi ikn nusanantia jadi lebih hijau bersih,netral,netral
daftar konglomerat indonesia jadi investor ikn,netral,netral
kalau kait sama emak bull gmn kan emak bull mau gas bangun ikn nyattttt,netral,netral
curiga bukan masayaarakat hukum adat beneran malah kaya yang bagi remahremah ikn,netral,netral
usah kait sm soekarno soekarno bukan tipu kayak mukidi soekarno bukan khianat sprti mukidi soekarno rakus tamak sprti mukidi soekarno bukan pribadi bs setir sprti mukidi ikn proyak kkn mukidi menko saurus culik,netral,netral
jokowi lengser bln okt ikn bpotensi tlananti proyak ikn bsaing dg makan siang gratis utang jatuh tempo t impor bbmlpg bansos impor sembako lemah rupiah amp proyak semenantia dapat nasionaltarget apbn depan lt rban t,netral,netral
dan sumadilaga pupr sedia air listrik gas internet ikn siap agustus,netral,netral
menteri investasi kepala bkpm bahlil lahadalia bantah ada investor asing ikn,netral,netral
ibu kota nusanantia guna transportasi cerdas,netral,netral
bentuk ikn baru sulit jadi calon kota jauh bagai aktifitas sama hal hadap banyak sulit duduk,netral,netral
uji coba kereta rel autonomous rail transit art ikn segera laksana,positif,netral
ikn prioritas investor lokal asing susul klik link baca,netral,netral
menteri investasi kepala bkpm bahlil lahadalia kata masalah lahan jumlah duduk jadi tanya investor akan masuk ikn bahlil ban ada investor asing akan masuk ikn,netral,netral
erick thohir timba ilmu dubai bangun pusat uang ikn,netral,netral
negara ada ikn,netral,netral
kini bisnis tugas khusus bambang susantono ikn cara cek sertifikat tanah online,netral,netral
tuh ngegertak doang kak tau sendiri netizen x lebih kritis banding ig sosmed lain yang kmrn berita soal lay off besar kait utang pindah ikn,netral,netral
habis segitu hutang jadi ribu t sebar benar lebih itu jelas hutang nambah ribu nyata ikn serap t aneh g si,netral,netral
ibu kota nusanantia guna transportasi cerdas,netral,netral
uji coba kereta rel autonomous rail transit art ikn segera laksana,positif,netral
bangun ikn tetap jalan tidak turun target kaesang ipar maut kominfo offside arafah,netral,netral
kalau mau negara untung legalin judi offline bal rumayan kan buat nombok ikn jangan kayak tolol malah mau beri bansos laku judi online,netral,netral
mudah kirim cargo ikn minex logistics butuh kirim cargo ikn minex logistics jago nikmat kirim ribet sama,netral,netral
fokus ikn alibi judi online besok terrorists israel repeat,netral,netral
luar biasa progres upacara laku ikn,netral,netral
punya ide pindah ikn baoaknya si emak jokowi menjalanlan perintah emak ntuk mindahin ikn paham lu anjing,netral,netral
kang kibul kang jual tanah rakyat ikn,netral,netral
sampe ikn,netral,netral
progres bangun bandara ikn terus jalan,netral,netral
uji coba kereta rel ikn segera laksana,netral,netral
ikn adab baru nasionalisme ipar maut kaesang arafah anies offside,netral,netral
judi online pelihara korban dapet bansos dollar sekian kalau makin naik apa rem tapi kata ama ikn ada investor nambah beban urgent bisa tunda dulu ambisi bapak tau dah ga paham konsep,netral,netral
bangun kantor presiden ikn capai persen siap guna juli kaesang ipar maut arafah anies offside,netral,netral
istana presiden ikn siap tempat presiden agustus kaesang ipar maut arafah offside anies,netral,netral
menteri pupr siap sarana dasar ikn tarik investor asing kaesang ipar maut arafah anies joko anwar,netral,netral
apbn sisa rp t amp investor asing kosong ikn ancam mangkrak lewat news,netral,netral
air baku ikn punya unggul langsung minum offside kaesang arafah ipar maut kominfo,netral,netral
presiden ri bapak joko widodo laku leta batu pertama bangun pln hub ikn nusanantia pln kembang pln hub akan jadi kawasan integrated renewable energy zone,netral,netral
ikn baik masa depan ibu kota negara maju,netral,netral
pantes tapera tapera duit buat ikn kurang yaaa,netral,netral
bangun infrastruktur jalan jembatan waduk terminal bandara ikn,netral,netral
terima kasih motorola ikn nusanantia lebih aman dukung,netral,netral
ikn tetap nomor satu,netral,netral
kena amuk kecil tanya mau kerja jawab ikn,netral,netral
ikn proyak bodoh rugi negara hanya buat rakyat makin sengsara pajak potong aneh,netral,netral
mungkin video om bule tiktok bukti betapa bahagia masayaarakat tinggal dekat ikn,netral,netral
bongkar korupsi anggar ikn,netral,netral
menteri bahlil ungkap hingga ini ada investasi asing ikn,netral,netral
baru tahu ikn panjang ibukota koruptor nepotisme,netral,netral
nah buat jabat negri yang suka menclamencle baca renung hari jangan suka isuk dele sore tempe ya kata iya kata tidak lebih dari si jahat investor ikn banyak,netral,netral
harus takut kabar prabowo prioritas kn ikn lg mskan siang gratis biar jelek muka lbp pt toba sejahtera kabar bnyk job proyak sana,netral,netral
ikn kota cerdas transportasi cerdas,netral,netral
ting makan siang gratis ikn,netral,netral
ting ikn jadi,netral,netral
perintah bisa buka judol uang putar bangun ikn,netral,netral
pentidak ada ev ikn nusanantia tak asal perintah juga pihak swasta,netral,netral
progres bangun bandara ikn nanti kawasan ikn nusanantia untuk kendara listrik electric vehicle ev,netral,netral
oikn sebut raya hut ri ikn jadi upacara selamat datang,netral,netral
itu uji coba kereta rel autonomous rail transit art akan segera laksana,positif,positif
pakdhe rakyat rakyat kecil solo jokowi kita blusukan jalan tol pakdhe ikn pakdhe jokowi lunas utang negara,netral,netral
goro benar jadi istana ikn bangun hindar segala macam bentuk demo protes rakyat lap lindung,netral,netral
solusi sita aset marketingnya ikn selalu bilang investor ikn oversubscribed miskin proses sesuai hukum semua buat balikin apbn dia pake beres,netral,netral
ikn penuh dusta yakinn sial alkadhibuajzun bohong sial nabisa check out tv tempos video,netral,netral
hitung video kog bu dewan maksudanya bangun ikn anggar apbn t habis t sisa itu t bu ada investor asing ada investor lokal itu dar groundbreaking jadi sisa t tahun depan apa,netral,netral
apa beda ikn kkn bagaimana hubung anantia ikn kkn beda huruf depan,netral,netral
denger florenrino perez tim cook sama elon musrik mau inves ikn,netral,netral
bangun ikn hanya siap infrastruktur lingkung tetapi manusia,netral,netral
naon sok rariweuh wae krn cuma invest m ikn,netral,netral
bangun training center timnas indonesia ikn makan biaya rp miliar bal united training center biaya konstruksi buat tiga lapang rp miliar belum masuk lahan lain,negatif,netral
andai dana apbn guna ikn alih bangun pabrik pupuk andai subsidi motor listrik alih subsidi pabrik pupuk kami mudah dapat pupuk murah kualitas kami hasil panen limpah,netral,netral
hutang puluh ribu triliun rupiah nepotisme gudang koruptor the mangkrak ikn bandara kertajati yang spesial ngibul sdh rajalela,netral,netral
akhir kasih kerja ada proyak nyari job ngintili jaksa sekali ngalihin isu utang ikn nyari dana investor,netral,netral
tahun ikn baru hun,netral,netral
perintah marah elon investasi indonesia padahal mau buat bayar proyak ikn,netral,netral
tanda suruh pindah ikn karna gedung tua jangan harap bangun uang pajak masayaarakat krna ikn bangun pusat perintah,netral,netral
mantap lanjut bangun ikn terus tarik minat investor baik lokal maupun internasional,netral,netral
woi kntl investor unlimitted fund kmn loe sebut tu dah masuk gak yang sakit hati kntl duit yang pakai ikn jg duit klu hny pakai duit loe bodoh,netral,netral
ikan paus ikn tongkol hati panas dongkol,netral,netral
ikn jadi latih urban warfare,netral,netral
ikn mangkrak sayaukurlah moga pak prabowo lbh prioritas didik sehat tani kesejahtraan rakyat ketimbang melanjuntukan ambisi pribadi jokowi bangun ikn,netral,netral
upacara ingat hut ri agustus ibu kota nusanantia ikn bakal pimpin presiden joko widodo harap pak tidur istana negara ikn kalau presiden ngga mau tinggal istana ikn bgmn orang mau percaya,netral,netral
sok tau loe yuk taroan ama gue kalau ikn bakal jadi mangkrak,netral,netral
ikn mangkraksayaukurlah moga pak prabowo lbh prioritas didik sehat tani kesejahtraan rakyat ketimbang melanjuntukan ambisi pribadi jokowi bangun ikn,netral,netral
harap sdsb untuk menyalesaikan ikn pada uang rakyat indonesia lari ln lewat judol,netral,netral
kalau ikn minimal punya patriot ato s ato pesawat cegat mins,negatif,netral
se butuh ikn butuh masayaarakat sejahtera hoy,netral,netral
buruh serabutan banyak candu judol bro jadi mending bantu buat anak upa spp gratis,netral,netral
gue harap ikn jadi proyak hambalang jilid biar dinasti jokowi engga kabur demo rakyat,netral,netral
rektor dulu tahun,netral,netral
iya duit ikn sama so called makan siang gratis jadi modernisasi alutsista kalau pentidak ada alutsista gue ikhlas tidak ikn makan siang gratis,netral,netral
tuju kyai menyasuaikan ikn pada uang rakyat indonesia lari ln lewat judol,netral,netral
gegayaan nyari air sampe mars buat kirim ikn mahal ongkirnya tong,netral,netral
ikn nusanantia jadi contoh kota panti teknologi ramah lingkung,netral,netral
jangan tidak adaada kamu min orang nomor satu ikn bilang baikbaik kenapa,netral,netral
jangan jangan ikn tempat lebih dekat china indo anggap china bukan ancam jika iya terus apa kabar kep natuna,netral,netral
ibukota korupsi nepotisme,netral,netral
peristiwa bukti warga ikn hidup bahagia,netral,netral
gpp tahun depan dpr jokowi para menteri pindah ikn,netral,netral
tahniah indonesia maju moga semua mudah tuhan akan unjung ikn satu hari salam harmoni ipoh perak malaysia,netral,netral
gausah tinggi kalau bikin program ribu orang tinggal bawah kolong jembatan lama puluh tahun ada ribu anak ngemis tiap hari jalan apa susah bangun rusun pindahin mrk kesana biar hidup lbh layak malah bangun ikn tidak ada manfaat rakyat,netral,netral
ikn sampah ikn proyak gagal,netral,netral
kalau benci jokowi periode plus pilkada dki coblos jangan frame cuit bawah diksi bencijadi jadi ikn bukan urus kturusan kita adlh kerja bener taat bayar pajak tuju kon gess kalau lambai tangan kamera,netral,netral
misi tuntas hercules aa sukses bawa mesin pompa air china ikn darat lancar lanud dhomber,netral,netral
misi tuntas hercules aa sukses bawa mesin pompa air china ikn darat lancar lanud dhomber,netral,netral
ikn kercep jkt sby maksi gratis,netral,netral
menteri jokowi beda dapat soal investor asing ikn kaltim suharso lurus nyata bahlil lewat,netral,netral
bikin ikn pake apbn investor blom yang masuk bjirr lah ndobosmu bran bran ncen hancokk,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
otorita ikn tidak adakan latih soft skill kewirausahaan laku umkm wilayah ikn tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,positif,netral
ganti pimpin otorita ikn kurang minat investor tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
bambang susantono urus ikn hingga rumor soal gaji tak bayar,netral,netral
kalau jokowi bicara hasil beda pernah bilang ekonomi roket nyata nyungsep esemka produksi nyata investor asing banyak masuk ikn nyata iniil yang tahu,netral,netral
tu sumbangsih iq kak jadi gabisa bedain anantia ikn sm sekalimantan,netral,netral
ikn buat tempat latih tempur,netral,netral
dollar hampir rp cicil utang makin dekat waktu bunga cicil udah uras apbn terus bangun ikn pakai uang apa apa lu mau indonesia jadi negara gagal,netral,netral
teknologi akan buat ikn nusanantia lebih siap hadap tantang lingkung,netral,netral
arti akhir periode ikn selesai,netral,netral
oikn nusanantia sabut ini sembilan investor telah masuk biaya proyak ikn jalan terus,netral,netral
kendara listrik izin kawasan dengan pentidak ada perintah swasta,netral,netral
kawasan akan isi kendara listrik perintah swasta jadi kota modern ramah lingkung,positif,netral
kendara listrik dominasi kawasan dukung perintah pihak swasta,netral,netral
ikn bukan prioritas buat pak prabowo hanya proyak nama jokowi kenang duit buat ikn terlalu besar mending buat didik murahgratis sesuai janji kampanyanya,netral,netral
mr lilbah antiklimaks hasil gaet investor ikn jelang bulan tuju upacara agustus besar mungkin munas si yallow ada stlh kabinet baru lantik mana power pakde saat tiba,netral,netral
ikn bas listrik,netral,netral
bangun bandara,netral,netral
ikn lah,netral,netral
mk khilangan marwahnya ikn makin jelas pembangunannyaprabowo lbh penting makan gratis gizi anak ikn cuma gelintir orang tinggal disanarupiah anjlok level tinggi masih bawah padab kata,netral,netral
haa haa haa memang si bule bilang apa ikn lapor pihak wajib,netral,netral
dunia didik ambyar nilai tukar rupiah ambyar ikn kelar bijak baru barbar heran gw ama perintah kerja apa sekal kritik belibet bela,netral,netral
susai bocor ikn rem v mantab pak,netral,netral
waduhhhhini gmn cuma ikn yang batidakankasian sodaraku sehat selalu sodaraku,netral,netral
moga bangun ikn jalan lancar aman sentosa harap tempat sampah area ikn mudah temu masayaarakat lebih mudah buang sampah tempat maju terus indonesia,netral,netral
kalau jabat baper ga mau kritik lebih baik jangan jadi jabat kalau ikn koment buat koruptor nepotisme lalu jabat marah arti di bilang benar dong,netral,netral
ikn siap riah hut ri lapang baru,netral,netral
blok gblk makin gblk gw bahas cari follower kalau mau cari follower jelas mending puji ikn dukung rakyat indo overproud gblk piara,netral,netral
harap sdsb untuk menyalesaikan ikn pada uang rakyat indonesia lari ln lewat judol,netral,netral
hutang gunung korupsi parah demokrasi hancur bumn bangkrut miskin naik didik nasional amburadul ikn bakal mangkrak monumen ikn bansos kacau balau kkn gila,netral,netral
berita lg susah orang cari kerja sudah kerja kelakuanya gak iklas kerja coba suruh ke ikn adon cement barangsekali jobdescnya,netral,netral
nomor lihat bahkan beberapa bulan jelang lantik pernah sekal singgung ikn,netral,netral
baca bro biar goblog bogor bukan di ikn,netral,netral
ikn sukses bangun jangan sampe ada istilah bonek van solo,netral,netral
kata dukung anis pinter pinter mau digoblokin sama bule proyak rumah bogor bukan proyak ikn fyi ikn saat belum kunjung warga sipil,netral,netral
harap sdsb untuk menyalesaikan ikn pada main judol uang rakyat indonesia lari ln,positif,netral
yakinnlah ikn pasti wujud atau restu rang orang,netral,netral
ngecam lu mending bantuin kuproy ikn ngecor tiang,netral,netral
ikn juga jadi kota mati kalau bukan warga situ nempatin di geber investor ada mau masuk awowkenapa malah ngorbanin rakyat pajak naik pas tuhan ngasih bagi otak akal kayak lu hadir jadi gblk,netral,netral
gelihat bisnis properti ikn,netral,netral
pindah ikn ogah sok sok nyuruh orang gaza,netral,netral
ikn bakal jadi candi berhala sendiri mau tinggal situ lebih milih balik solo,netral,netral
progres jadi simbol maju ikn,netral,netral
otorita pindah ikn sekaligus bangun adab baru,netral,netral
bangun ibu kota ga cmn bikin gedung infrastructure doank create ekosistem dukung dari az umek konstruksi baru th gw cukup yakinn kalau rencana yang mo ngantor ikn juli kek makan tengah donut,netral,netral
salahin emak banteng semua jadi skrng tentu atas tuju emak banteng masuk bangun ikn rupa mimpi bapak ngaihahajajajjajja,netral,netral
kritik jg tapi jangan ngehoaks tolol lu ngevlog ikn kata tryta bogor,netral,netral
bangga capai lapang upacara ikn,netral,netral
bangun ikn kaltim halang apbn rocky gerung bukan proyak negara proyak jokowi,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
otorita ikn tidak adakan latih soft skill kewirausahaan laku umkm wilayah ikn tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,positif,netral
ganti pimpin otorita ikn kurang minat investor tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
tekstil gulung tikar teknologi gulung tikar rupiah gulung tikar gapapa penting ikn simbol bangun negara tetep jalan yakan,netral,netral
netizen asn pindah ikn september oktober jokowi lengser november asn balik ke jakarta anggap rekreasi,netral,netral
gagas pindah ibu kota soekarno apa perlu kubur pindah ikn gaya berfikir elu ngejelimet dasar sdm rendah jadi presiden prabowo yang tinggal sana amp awal perintah bukan eks presiden paham luh thololllllllll,netral,netral
ikn apa coba ibu kota negara mana,netral,netral
ikn pesan kakak besar tiongkenapa sekali,netral,netral
ikn satu bulan akan jadi mewah dubai moga akuh jd komisaris aamiin,netral,netral
janji politis indo nila fokus prab cuma ikn tetep jalan tadi jadi fokus makan siang jalan ada,netral,netral
dongok lo makin pamerin jink orang agas ikn dia beri contoh dong hayooo lebih semangat pamerin dongok jink,netral,netral
sentil jokowi ancang konsep ikn kecewa berat ibu kota negara serah investor,netral,netral
konteks bahas kenapaa jokowi suruh tinggal ikn sebenanti masa perintah selesai amp ganti prabowo prabowo lah akan ngawal perintah ikn bukan jokowi paham luh thololllllllll ngiahahhabajajjaja,netral,netral
simpan aset sekali usd project kaya ikn bau bau mirip project mercusuar zaman soekarno cuma buat gagah gagah doang,netral,netral
ikn ada tuh wkwkwkkwkwkwkwkwkwkkwkwkwkkwkwkwkwkwkkwkwkwkwkwkwkwkwkkwkwkwkwkwkkwkwkwkwkkwkwwkkwkwkwkwkwkwkkwkwkwkwwkwkkwkwkskkwkwkwkwkwkwkwkkwkwkwkwkwkkwkwkwkwkkwkwkwkwkwkwkkwkwkwkkwkwkwkwkwkkwkwkwkkwkwkwkwkkwkwkwkwkwkwkkwkwkwkwkwkkwkkwkwkwkkwkwkwkwkwkkwkwkwkkwkw,netral,netral
ane tuju tuch ikn ikat khayal ndungu lanjut le langkah loe dah bener,netral,netral
mantab om telah video saya lihat video sbelumya memang ngak sebut pulau tentu sebut ikn ibu kota koruptor,netral,netral
lah kalau minta rumah jakarta or solo terus kenapaa ada harus ntuk tinggal ikn dia ga punya penting dangn perintah kalau jokowi hubung dangn perintah prabowo elu nyinyirin cawecawe kan sablenk elu nyat ngiahaha,netral,netral
candi ikn,netral,netral
langkah adalah bagi visi besar ikn nusanantia masa depan lebih baik,netral,netral
nah kalau kasih rumah yah bebas donk milih aja penting sesuai dangn atur udah tetap skrng aya tanya ngapain jokowi milih tinggal ikn anak cucu di solo kan tholol elu ga mikir jin,netral,netral
eeh dongok baca jokowi kan minta rumah ikn,netral,netral
lebih aman ikn jauh dari negara proxy negara asean potensi gabung utara jauh dari selat malaka potensi bomber cruise missile lebih aman mampu ada mampu negara asean ngadepin musuh utara lebih baik punya bemper dariipada ngga sama sekal,netral,netral
misal gua bahas soal ikn psti aja blg ngapain si ikn ngabisin duit nguntungin jabat blabla gua kayak itu program lanjut elu dukung lu pilih sekarang baru sadar apa gapaham gua tuh heran,netral,netral
napa ni rezim istirahat dolo ikn ja ni apbn boncoss,netral,netral
kendara listrik electric vehicle ev pentidak ada ev ikn nusanantia tak asal perintah juga pihak swasta,netral,netral
uji coba kereta rel segera laksana,netral,netral
teracam malah semua di pajakin ikn,netral,netral
konsep transportasi ikn bas kendara listrik,netral,netral
ikn guna transportasi cerdas,netral,netral
ikn ikat keluarga naga,netral,netral
ikn nusanantia kota pionir transportasi cerdas,netral,netral
kan rumah jokowi solo ngapain maksain beli rumah ikn blog goblok om lu mau jual rumah lu skrng amp beli rumah ikn padahl keluarga lu solo begok bener kadal buduk van banteng kurap,netral,netral
itailiano om bule ogah minta maaf kena semprot vt ikn,netral,netral
luar biasa kerja sama motorola aman ikn nusanantia,netral,netral
nah skrng apa posisi amp peran shingga layak dapat rumah ikn tanya aya enanti kalau nyata jadi tinggal ikn apa elu akan nyinyir udah bukan presiden koq dapet rumah ikn boros lah kan jadi bahan pelintir manusia tholol kaya lo,netral,netral
sig siap penuh butuh bangun ikn konsep lanjut,netral,netral
kata melek politik eh nyata cundang sakit hati ikn jalan terus elu bakal tambah stresss sakit hati kasihan deh elu,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
kolaborasi anantia otorita ikn motorola solution inc tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
otorita ikn tidak adakan latih soft skill kewirausahaan laku umkm wilayah ikn tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,positif,netral
ganti pimpin otorita ikn kurang minat investor tag ipar maut arafah anies jerman kaesang harga bagus banget joko anwar siang bansos idul adha,netral,netral
menteri pupr menyalesaikan bangun bendung paku semoi kapasitas liter per detik intake sungai paku kapasitas liter per detik sebut pasok butuh air baku duduk ikn nusanantia,netral,netral
elu bayangin lah dulu bensin lu cuman sekarang jadi bukan uang perintah bikin subsidi penuh butuh rakyat malah dipake bangun ikn dipake buat nutupnutupin biaya makan gratis subsidi motor listrik jg aneh betul bener tuh baik per,netral,netral
pak jokowi sibuk ngurus ikn biar dipake upacara,netral,netral
kawasan ikn jadi wilayah khusus kendara listrik electric vehicle ev pentidak ada asal kerjasama anantia perintah pihak swasta,netral,netral
ikn lah bahlul,netral,netral
